organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas sp. R4-39-08,NZ_CP027733.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R3-18-08,NZ_CP027729.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R5-89-07,NZ_CP027727.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R2-7-07,NZ_CP027759.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R1-43-08,NZ_CP027734.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R3-52-08,NZ_CP027730.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sessilinigenes,NZ_CP027706.1,Xanthosoma sagittifolium,NA,red cocoyam rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. LTGT-11-2Z,NZ_CP033104.1,Alhagi sparsifolia Shap.,NA,NA,NA,host.associated,unknown
Pseudomonas sp. LTJR-52,NZ_CP033105.1,Alhagi sparsifolia Shap.,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Leaf58,NZ_CP032677.1,Arabidopsis,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. DY-1,NZ_CP032616.1,bacteria,NA,Heilongjiang Province,Pseudomonas Sp.,unknown,unknown
Pseudomonas sp. LG1E9,NZ_CP029983.1,NA,NA,water,cell culture,free.living,unknown
Pseudomonas sp. TMW 2.1634,NZ_CP016849.1,NA,NA,poultry meat,cell culture,unknown,unknown
Pseudomonas sp. 31-12,NZ_CP029482.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas sp. MYb193,NZ_CP023269.1,NA,NA,compost,Whole organism,free.living,unknown
Pseudomonas sp. XWY-1,NZ_CP026332.1,NA,NA,Rice Fields,cell culture,free.living,unknown
Pseudomonas sp. LG1D9,NZ_CP026881.1,NA,NA,freshwater,cell culture,free.living,unknown
Pseudomonas sp. LH1G9,NZ_CP026880.1,NA,NA,estuary,cell culture,free.living,unknown
Pseudomonas sp. SWI36,NZ_CP026675.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. SWI44,NZ_CP026674.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. SWI6,NZ_CP026676.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. PONIH3,NZ_CP026386.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. NC02,NZ_CP025624.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. HLS-6,NZ_CP024478.1,NA,NA,water,whole organism,free.living,unknown
Pseudomonas sp. FDAARGOS_380,NZ_CP023969.1,Homo sapiens,Missing,G tube,Missing,host.associated,unknown
Pseudomonas sp. CC6-YY-74,NZ_CP019947.1,NA,NA,Arctic Ocean sediment,single bacterium,free.living,unknown
Pseudomonas sp. GR 6-02,NZ_CP011567.1,Artemisia princeps,NA,plant root,Bacteria pure culture,host.associated,unknown
Pseudomonas sp. JY-Q,NZ_CP011525.1,NA,NA,TWE(tobacco waste extract),whole genome,host.associated,unknown
Pseudomonas sp. DR 5-09,NZ_CP011566.1,Erigeron canadensis,NA,plant root,Bacteria pure culture,host.associated,unknown
Pseudomonas sp. MRSN12121,NZ_CP010892.1,Homo sapiens,Bacteriuria,urine,NA,host.associated,disease.associated
Pseudomonas sp. FGI182,NZ_CP007012.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas plecoglossicida,NZ_CP050291.1,Larimichthys crocea,NA,NA,tissue sample,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP056774.1,Homo sapiens,wound,wound,NA,host.associated,unknown
Pseudomonas sp. LAB-08,NZ_AP017423.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP031449.2,Homo sapiens,UTI,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP040127.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP054591.1,Homo sapiens,NA,bacteremia,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP050332.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050334.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050329.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050333.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050330.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050331.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050335.1,Homo sapiens,leg ulcer,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050326.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050323.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050325.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050322.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050327.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050328.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050324.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050052.1,NA,NA,"South China Agricultural University maintained the laboratory-adapted strain of PAO1 acquired from E. Peter Greenberg, University of Washington",Pure culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP045739.1,Homo sapiens,Pneumonia,Sputum-lungs,NA,host.associated,disease.associated
Pseudomonas sp. AN-B15,NZ_CP049737.1,wheat,NA,root,cell culture,host.associated,unknown
Pseudomonas putida,NZ_CP045551.1,Homo sapiens,pulmonary infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP050053.1,NA,NA,"Integrative Microbiology Research Center, South China Agricultural University (SCAU), Tianhe District, Guangzhou China",Pure culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP050054.1,NA,NA,"Integrative Microbiology Research Center, South China Agricultural University (SCAU), Tianhe District, Guangzhou China",Pure culture,unknown,unknown
Pseudomonas rhodesiae,NZ_CP054205.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. AN-B15,CP049737.1,wheat,NA,root,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP053917.1,Homo sapiens,pneumonia,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053922.1,Morus alba,NA,NA,cell culture,host.associated,unknown
Pseudomonas corrugata,NZ_CP014262.1,Brassica napus,NA,greenhouse grown oilseed rape rhizosphere of Sphagnum magellanicum-treated seeds,NA,host.associated,unknown
Pseudomonas graminis,NZ_CP053746.1,Panax ginseng,NA,ginseng seedlings,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP053706.1,Homo sapiens,NA,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP053705.1,Homo sapiens,NA,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP029605.1,Homo sapiens,Sepsis,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP030913.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP030861.1,not collected,NA,not collected,NA,unknown,unknown
Pseudomonas syringae pv. atrofaciens,NZ_CP028490.1,Triticum aestivum,cause bacterial basal glume rot on grains,Wheat (Triticum aestivum),NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP053390.1,Homo sapiens,NA,NA,blood,host.associated,unknown
Pseudomonas cichorii,NZ_CP076668.1,NA,NA,the leaf of flue-cured tobacco,NA,host.associated,unknown
Pseudomonas syringae pv. syringae B301D,NZ_CP005969.1,Pyrus communis,NA,NA,NA,host.associated,unknown
Pseudomonas syringae pv. syringae HS191,NZ_CP006256.1,Panicum miliaceum,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP053390.1,Homo sapiens,NA,NA,blood,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP049161.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas cichorii,CP076668.1,NA,NA,the leaf of flue-cured tobacco,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP024630.1,Mink,Mink Hemorrhagic pneumonia,Mink raising farm,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP033771.1,Homo sapiens,NA,Throat (pharynx),NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP033832.1,Homo sapiens,NA,Endotracheal aspirate,NA,host.associated,unknown
Pseudomonas putida,NZ_CP016634.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas frederiksbergensis,NZ_CP023466.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP020703.1,Homo sapiens,N.A.,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP020704.1,Homo sapiens,N.A.,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP016955.1,Homo sapiens,unavailable,unavailable,NA,host.associated,unknown
Pseudomonas putida JB,NZ_CP016212.1,NA,NA,PCB contaminated soil,cell culture,free.living,unknown
Pseudomonas brassicacearum,NZ_CP014693.1,Solanum tuberosum cv Desiree,NA,rhizosphere of field grown potato plants,NA,host.associated,unknown
Pseudomonas fluorescens,NZ_CP015638.1,Miscanthus x giganteus,NA,Interior of surface sterilised leaf tissue,NA,host.associated,unknown
Pseudomonas fluorescens,NZ_CP015637.1,Miscanthus x giganteus,NA,Interior of surface sterilised leaf tissue,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP013989.1,Bos taurus,NA,nasopharynx,NA,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP009290.1,plant root,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP042269.1,Homo sapiens,Cystic fibrosis,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP043328.1,Homo sapiens,Urinary tract infection,Urine sample,NA,host.associated,disease.associated
Pseudomonas synxantha,NZ_LR027557.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae,NZ_CP068034.2,Ribes nigrum,NA,Ribes nigrum leaves,NA,host.associated,unknown
Pseudomonas sp. SK3(2021),NZ_CP061943.1,NA,NA,Organic soil,Whole organism,free.living,unknown
Pseudomonas sp. SK2,NZ_CP061944.1,NA,NA,Organic soil,Whole organism,free.living,unknown
Pseudomonas sp. LAB-08,AP017423.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas donghuensis,NZ_CP071706.1,NA,NA,rhizosphere of tomato plant,NA,host.associated,unknown
Pseudomonas donghuensis,CP071706.1,NA,NA,rhizosphere of tomato plant,NA,host.associated,unknown
Pseudomonas sp. SK3(2021),CP061943.1,NA,NA,Organic soil,Whole organism,free.living,unknown
Pseudomonas sp. SK2,CP061944.1,NA,NA,Organic soil,Whole organism,free.living,unknown
Pseudomonas amygdali pv. lachrymans,NZ_CP075686.1,NA,NA,"cucumber ""Kurazh F1""",cell culture,host.associated,unknown
Pseudomonas amygdali pv. lachrymans,CP075686.1,NA,NA,"cucumber ""Kurazh F1""",cell culture,host.associated,unknown
Pseudomonas sp. RC3H12,NZ_CP075595.1,NA,NA,River,Cell culture,free.living,unknown
Pseudomonas congelans,NZ_CP053030.1,Malus domestica,NA,NA,whole organism,host.associated,unknown
Pseudomonas fluorescens,NZ_CP075566.1,NA,NA,Arctic grass,cell culture,host.associated,unknown
Pseudomonas congelans,NZ_CP053029.1,Solanum tuberosum,NA,NA,whole organism,host.associated,unknown
Pseudomonas sp. RC3H12,CP075595.1,NA,NA,River,Cell culture,free.living,unknown
Pseudomonas congelans,CP053030.1,Malus domestica,NA,NA,whole organism,host.associated,unknown
Pseudomonas congelans,CP053029.1,Solanum tuberosum,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP075176.1,Homo sapiens,Urinary Tract Infection,urine,NA,host.associated,disease.associated
Pseudomonas fluorescens,CP075566.1,NA,NA,Arctic grass,cell culture,host.associated,unknown
Pseudomonas viridiflava,NZ_CP074412.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas entomophila,NZ_CP070982.1,NA,NA,soil adjacent to man-made pond at water treatment facility,NA,free.living,unknown
Pseudomonas rhodesiae,NZ_CP070981.1,NA,NA,parking lot island in grocery store parking lot,NA,free.living,unknown
Pseudomonas syringae,NZ_CP074578.1,Medicago sativa,NA,plant stem,plant stem,host.associated,unknown
Pseudomonas aeruginosa,NZ_AP024513.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae,NZ_CP074409.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas sp. Pc102,NZ_AP021905.1,Phaseolus coccineus,NA,NA,NA,host.associated,unknown
Pseudomonas qingdaonensis,NZ_CP074676.1,NA,NA,activated sludge,cell culture,unknown,unknown
Pseudomonas sp. SORT22,NZ_CP071007.1,NA,NA,residential yard with dogs and pecan tree,NA,free.living,unknown
Pseudomonas syringae,NZ_CP074410.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas syringae,NZ_CP074411.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas rhodesiae,NZ_CP070980.1,NA,NA,family farm small pasture with chickens and goats,NA,free.living,unknown
Pseudomonas cichorii,NZ_CP074349.1,Cichorium endivia,NA,NA,NA,host.associated,unknown
Pseudomonas syringae,CP068034.2,Ribes nigrum,NA,Ribes nigrum leaves,NA,host.associated,unknown
Pseudomonas aeruginosa,CP075176.1,Homo sapiens,Urinary Tract Infection,urine,NA,host.associated,disease.associated
Pseudomonas rhodesiae,CP070980.1,NA,NA,family farm small pasture with chickens and goats,NA,free.living,unknown
Pseudomonas rhodesiae,CP070981.1,NA,NA,parking lot island in grocery store parking lot,NA,free.living,unknown
Pseudomonas sp. SORT22,CP071007.1,NA,NA,residential yard with dogs and pecan tree,NA,free.living,unknown
Pseudomonas entomophila,CP070982.1,NA,NA,soil adjacent to man-made pond at water treatment facility,NA,free.living,unknown
Pseudomonas qingdaonensis,CP074676.1,NA,NA,activated sludge,cell culture,free.living,unknown
Pseudomonas syringae,CP074578.1,Medicago sativa,NA,plant stem,plant stem,host.associated,unknown
Pseudomonas viridiflava,CP074412.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas syringae,CP074410.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas syringae,CP074409.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas syringae,CP074411.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas sp. Seg1,NZ_AP021903.1,Setaria pumila,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Ost2,NZ_AP021904.1,Oenothera stricta,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Eqa60,NZ_AP024342.1,Equisetum arvense,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Cab53,NZ_AP021902.1,Capsella bursa-pastoris,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St290,NZ_AP014703.1,Solanum tuberosum L.,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St316,NZ_AP021901.1,Solanum tuberosum,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St386,NZ_AP021900.1,Solanum tuberosum,NA,NA,NA,host.associated,unknown
Pseudomonas amygdali pv. tabaci,NZ_AP024464.1,Nicotiana tabacum,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP061778.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP061779.1,Homo sapiens,Pseudomonas infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP061777.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP061780.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP065374.1,Homo sapiens,urine infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP065948.1,Homo sapiens,urine infection,urine,NA,host.associated,disease.associated
Pseudomonas syringae Cit 7,NZ_CP073636.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. JS425,NZ_CP073661.1,NA,NA,activated sludge,whole organism,free.living,unknown
Pseudomonas putida,NZ_CP047311.1,NA,NA,soil sample,whole organism,free.living,unknown
Pseudomonas sp. PP3,NZ_HG995459.1,NA,NA,Dalapon enriched soil microbial community (chemostat selection),NA,free.living,unknown
Pseudomonas fluorescens,NZ_CP027561.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas lalkuanensis,NZ_CP043311.1,NA,NA,Soil containing e-waste,Axenic Cell Culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP065947.1,Homo sapiens,urine infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP073082.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP073080.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas cichorii,CP074349.1,Cichorium endivia,NA,NA,NA,host.associated,unknown
Pseudomonas synxantha,CP074078.1,Leptinotarsa decemlineata,NA,NA,NA,host.associated,unknown
Pseudomonas chlororaphis subsp. chlororaphis,NZ_CP027712.1,not applicable,NA,plate contaminant,cell culture,unknown,unknown
Pseudomonas aeruginosa,CP061780.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP061779.1,Homo sapiens,Pseudomonas infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP061778.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP061777.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP027720.1,not applicable,NA,river clay,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,NZ_CP027707.1,Perca fluviatilis,NA,European perch intestine,cell culture,host.associated,unknown
Pseudomonas syringae Cit 7,CP073636.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. JS425,CP073661.1,NA,NA,activated sludge,whole organism,free.living,unknown
Pseudomonas chlororaphis subsp. aurantiaca,AP020336.1,Trifolium repens,NA,NA,NA,host.associated,unknown
Pseudomonas lalkuanensis,CP043311.1,NA,NA,Soil containing e-waste,Axenic Cell Culture,free.living,unknown
Pseudomonas cannabina pv. alisalensis,NZ_CP067022.1,Japanese radish,NA,NA,cell culture,host.associated,unknown
Pseudomonas sp. Eqa60,AP024342.1,Equisetum arvense,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Boi14,AP024341.1,Brassica oleracea,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Pc102,AP021905.1,Phaseolus coccineus,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Ost2,AP021904.1,Oenothera stricta,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Seg1,AP021903.1,Setaria pumila,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Cab53,AP021902.1,Capsella bursa-pastoris,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St316,AP021901.1,Solanum tuberosum,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St386,AP021900.1,Solanum tuberosum,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St290,AP014703.1,Solanum tuberosum L.,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP065948.1,Homo sapiens,urine infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP065947.1,Homo sapiens,urine infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP065374.1,Homo sapiens,urine infection,urine,NA,host.associated,disease.associated
Pseudomonas putida,CP047311.1,NA,NA,soil sample,whole organism,free.living,unknown
Pseudomonas amygdali pv. tabaci,AP024464.1,Nicotiana tabacum,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP073080.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP073082.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas fluorescens,NZ_CP072873.1,NA,NA,NA,bacteria pure culture,unknown,unknown
Pseudomonas sp. Tri1,NZ_CP072913.1,NA,NA,farmland soil,NA,free.living,unknown
Pseudomonas protegens,NZ_CP054871.1,Lithobius_myriapod,NA,NA,Arthropod,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP054867.1,Potato_root,NA,NA,Root,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP054868.1,Scarabaeidae_pupa_Coleoptera,NA,NA,Arthropod,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP054865.1,Potato_soil,NA,NA,Soil,free.living,unknown
Pseudomonas sp. Tri1,CP072913.1,NA,NA,farmland soil,NA,free.living,unknown
Pseudomonas fluorescens,CP072873.1,NA,NA,NA,bacteria pure culture,unknown,unknown
Pseudomonas protegens,CP054874.1,tobacco_roots_Ghana,NA,NA,Root,host.associated,unknown
Pseudomonas protegens,CP054873.1,tobacco_roots_Ghana,NA,NA,Root,host.associated,unknown
Pseudomonas protegens,CP054871.1,Lithobius_myriapod,NA,NA,Arthropod,host.associated,unknown
Pseudomonas chlororaphis,CP054868.1,Scarabaeidae_pupa_Coleoptera,NA,NA,Arthropod,host.associated,unknown
Pseudomonas chlororaphis,CP054867.1,Potato_root,NA,NA,Root,host.associated,unknown
Pseudomonas chlororaphis,CP054865.1,Potato_soil,NA,NA,Soil,free.living,unknown
Pseudomonas aeruginosa,NZ_CP072783.1,NA,NA,Soil land,whole organism,free.living,unknown
Pseudomonas khazarica,CP068551.1,oyster,NA,NA,tissue sample,host.associated,unknown
Pseudomonas aeruginosa,CP072783.1,NA,NA,Soil land,whole organism,free.living,unknown
Pseudomonas mendocina,NZ_CP060288.1,NA,NA,water,Cell culture,free.living,unknown
Pseudomonas parafulva,NZ_CP009747.1,NA,NA,"LB (Luria broth, BD, USA)",NA,unknown,unknown
Pseudomonas mendocina,CP060288.1,NA,NA,water,Cell culture,free.living,unknown
Pseudomonas fluorescens,NZ_CP038438.1,NA,NA,rhizosphere of strawberry plant,whole organism,host.associated,unknown
Pseudomonas fluorescens,NZ_CP025542.1,NA,NA,Take-all decline soil of wheat,Single cell,host.associated,unknown
Pseudomonas putida DOT-T1E,NC_018220.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. RtIB026,NZ_AP023348.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP054581.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP046406.2,Homo sapiens,pneumonia,respiratory,NA,host.associated,disease.associated
Pseudomonas eucalypticola,NZ_CP056030.1,NA,NA,plant leaf,whole organism,host.associated,unknown
Pseudomonas syringae pv. tomato,NZ_CP019871.1,Solanum lycopersicum cv. Brillante,NA,NA,pure culture,host.associated,unknown
Pseudomonas aeruginosa,CP054581.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP046406.2,Homo sapiens,pneumonia,respiratory,NA,host.associated,disease.associated
Pseudomonas citronellolis,NZ_CP015878.1,NA,NA,sludge,monosample,free.living,unknown
Pseudomonas corrugata,NZ_CP072011.1,NA,NA,"tomato ""Raisa F1""",cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP027746.1,not applicable,NA,not collected,cell culture,unknown,unknown
Pseudomonas plecoglossicida,NZ_CP031146.1,Larimichthys crocea,NA,fish spleen,bacterial culture,host.associated,unknown
Pseudomonas kribbensis,NZ_CP029608.1,NA,NA,"garden soil (KRIBB, Daejeon, South Korea)",cell culture,free.living,unknown
Pseudomonas avellanae,NZ_CP026562.1,Prunus avium,shothole,NA,NA,host.associated,unknown
Pseudomonas alcaliphila JAB1,NZ_CP016162.1,NA,NA,PCB contaminated soil,cell culture,free.living,unknown
Pseudomonas psychrotolerans,NZ_CP018758.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas antarctica,NZ_CP015600.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas koreensis,NZ_CP014947.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas azotoformans,NZ_CP014546.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas cichorii JBC1,NZ_CP007039.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas poae RE*1-1-14,NC_020209.1,NA,NA,endorhiza sugar beet,NA,host.associated,unknown
Pseudomonas corrugata,CP072011.1,NA,NA,"tomato ""Raisa F1""",cell culture,host.associated,unknown
Pseudomonas gozinkensis,NZ_CP062253.1,NA,NA,soil,Cell culture,free.living,unknown
Pseudomonas allokribbensis,NZ_CP062252.1,NA,NA,soil,Cell culture,free.living,unknown
Pseudomonas fluorescens,NZ_CP071797.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP071731.1,Homo sapiens,NA,NA,respiratory sample,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP071730.1,Homo sapiens,NA,NA,respiratory sample,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP037926.1,Homo sapiens,Cystic Fibrosis,Cystic Fibrosis lung sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP037925.1,Homo sapiens,Cystic Fibrosis,Cystic Fibrosis lung sputum,NA,host.associated,unknown
Pseudomonas fluorescens,CP071797.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP045552.2,Homo sapiens,Hematencephalon,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,CP071731.1,Homo sapiens,NA,NA,respiratory sample,host.associated,unknown
Pseudomonas aeruginosa,CP071730.1,Homo sapiens,NA,NA,respiratory sample,host.associated,unknown
Pseudomonas aeruginosa,AP024513.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens,NZ_AP024503.1,Trapa japonica,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP060392.1,Homo sapiens,pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP054843.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP054845.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP046402.2,Homo sapiens,pneumonia,respiratory,NA,host.associated,disease.associated
Pseudomonas sp. OST1909,NZ_CP063780.1,NA,NA,Oil sand process water,Cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP031677.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas savastanoi pv. phaseolicola 1448A,NC_005773.3,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP045552.2,Homo sapiens,Hematencephalon,blood,NA,host.associated,unknown
Pseudomonas knackmussii B13,NZ_HG322950.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP022478.1,Homo sapiens,infection,sputum,NA,host.associated,disease.associated
